question_label,CHROMA + BGE + Llama,CHROMA + MiniLM + Llama,FAISS + BGE + Llama,FAISS + MiniLM + Llama
IoT evaluation criteria," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf",," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
IoT topics covered," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf",," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"," IoT Networks, Architectures and Applications-CSE 2023 Batch.pdf"
Healthcare evaluation criteria,2025_course_handout_AMCH.pdf,,2025_course_handout_AMCH.pdf,2025_course_handout_AMCH.pdf
Healthcare credits,2025_course_handout_AMCH.pdf,2025_course_handout_AMCH.pdf,2025_course_handout_AMCH.pdf,2025_course_handout_AMCH.pdf
